Date,Startup,Vertical,SubVertical,City,Investors,Round,Amount,Year,month_num,month_name,Month_Year,Investor_num
2020-01-09,BYJU’S,E-Tech,E-learning,Bangalore,Tiger Global Management,Private Equity Round,1711.6,2020,1,January,January-2020,1
2020-01-13,Shuttl,Transportation,App based shuttle service,Gurgaon,Susquehanna Growth Equity,Series C,68.87815585199999,2020,1,January,January-2020,1
2020-01-09,Mamaearth,E-commerce,Retailer of baby and toddler products,Bangalore,Sequoia Capital India,Series B,157.11512388,2020,1,January,January-2020,1
2020-01-02,https://www.wealthbucket.in/,FinTech,Online Investment,New Delhi,Vinod Khatumal,Pre-Series A,25.674,2020,1,January,January-2020,1
2020-01-02,Fashor,Fashion and Apparel,Embroiled Clothes For Women,Mumbai,Sprout Venture Partners,Angel Funding,15.4044,2020,1,January,January-2020,1
2020-01-13,Pando,Logistics,"Open-market, freight management platform",Chennai,Chiratae Ventures,Series A,77.022,2020,1,January,January-2020,1
2020-01-10,Zomato,Hospitality,Online Food Delivery Platform,Gurgaon,Ant Financial,Private Equity Round,1283.7,2020,1,January,January-2020,1
2019-12-12,Ecozen,Technology,Agritech,Pune,Sathguru Catalyzer Advisors,Series A,51.348,2019,12,December,December-2019,1
2019-12-06,CarDekho,E-Commerce,Automobile,Gurgaon,Ping An Global Voyager Fund,Series D,599.06,2019,12,December,December-2019,1
2019-12-03,Dhruva Space,Aerospace,Satellite Communication,Bangalore,"Mumbai Angels, Ravikanth Reddy",Angel Funding,427.9,2019,12,December,December-2019,2
2019-12-13,Rivigo,Technology,Logistics Services and Solutions,Gurgaon,"SAIF Partners, Spring Canter Investment Ltd.",Series F,171.16,2019,12,December,December-2019,2
2019-12-17,Healthians,B2B-focused foodtech startup,Food Solutions For Corporate,Bangalore,"Paytm, NPTK, Sabre Partners and Neoplux",Series C,102.696,2019,12,December,December-2019,3
2019-12-16,Licious,E-Commerce,Online Meat And Seafood Ordering Startup,Bangalore,Vertex Growth Fund,Series E,256.74,2019,12,December,December-2019,1
2019-12-14,Trell,Video,Experience Discovery Platform,Bangalore,Ruizheng Investment,Angel Funding,17.116,2019,12,December,December-2019,1
2019-12-11,Rein Games,Gaming,Real money based gaming startup,Noida,Manipal Education and Medical Group (MEMG),Angel Funding,427.9,2019,12,December,December-2019,1
2019-12-20,Lenskart.com,E-Commerce,Online Eyewear Shopping Portal,Faridabad,SoftBank Vision Fund,Series G,1976.898,2019,12,December,December-2019,1
2019-11-13,Freshworks,Software,Business and customer engagement tools,San Francisco,"Sequoia, CapitalG, Accel",Series H,1283.7,2019,11,November,November-2019,3
2019-11-14,Misters,Health and wellness,Men's Health and Wellness brand,Gurgaon,"Sauce.vc, Rainforest Ventures",Series B,4.159188,2019,11,November,November-2019,2
2019-11-13,Sunstone Eduversity Pvt. Ltd,Education,Elearning,Gurgaon,"Prime Venture Partners, LetsVenture, PS1 Venture and GlobalLogic co-founder Rajul Garg",Angel Funding,12.837,2019,11,November,November-2019,3
2019-11-17,Burger Singh,Food and Beverage,Indian Burger Brand,Gurgaon,RB Investments,Venture Round,0.0,2019,11,November,November-2019,1
2019-11-18,Healthians,Health and Wellness,Healthcare services,Gurgaon,"DG Daiwa Ventures, DG Incubation",Series B,102.696,2019,11,November,November-2019,2
2019-11-15,Ninjacart,B2B Marketing,Agritech,Bangalore,Trifecta Capital Advisors,Debt Funding,222.508,2019,11,November,November-2019,1
2019-11-20,Aye Finance,FinTech,Financial Services To MSMEs,Gurgaon,FinTech,Debt Funding,149.00560587,2019,11,November,November-2019,1
2019-11-12,SuperGaming,Video Games,Social gaming platform,Pune,Dream Incubator,Angel Funding,11.1254,2019,11,November,November-2019,1
2019-11-20,Clumio,SaaS,Recovery software,San Jose,"Altimeter Capital, Sutter Hill Ventures",Series C,1155.33,2019,11,November,November-2019,2
2019-11-11,eBikeGo,Last Mile Transportation,Electric bike rental,Amritsar,Startup Buddy,Angel Funding,2.5674,2019,11,November,November-2019,1
2019-11-19,Digital Mall Asia,E-Commerce,Virtual e-commerce platform,Delhi,Amour Infrastructure,Angel Funding,1882.76,2019,11,November,November-2019,1
2019-11-18,Medikabazaar,Healthcare,B2B platform for medical supplies,Mumbai,"Ackermans & van Haaren, HealthQuad, Rebright Partners, Toppan Printing",Series B,135.2164,2019,11,November,November-2019,4
2019-11-15,Vogo Automotive,Last Mile Transportation,Scooter sharing app,Kormangala,"Matrix Partners, Stellaris Venture Partners, Kalaari Capital",Series B,2421.914,2019,11,November,November-2019,3
2019-11-25,Paytm,FinTech,Mobile Wallet,Noida,Vijay Shekhar Sharma,Funding Round,8558.0,2019,11,November,November-2019,1
2019-10-04,Dunzo,Customer Service,Delivery Service,Bangalore,Lightbox,Series D,385.11,2019,10,October,October-2019,1
2019-10-02,Udaan,B2B,Business development,Bangalore,"Altimeter Capital, DST Global",Series D,5006.43,2019,10,October,October-2019,2
2019-10-21,The Man Company,Consumer Goods,Beauty and Grooming,Gurgaon,Ayushmann Khurana,Corporate Round,0.0,2019,10,October,October-2019,1
2019-09-05,FPL Technologies,FinTech,Financial Services,Pune,"Matrix Partners India, Sequoia India",Maiden Round,38.511,2019,9,September,September-2019,2
2019-09-04,Cashflo,FinTech,Invoice discounting platform and SME lending marketplace,Mumbai,SAIF Partners,Series A,28.2414,2019,9,September,September-2019,1
2019-09-04,Digital F5,"Advertising, Marketing",Digital marketing firm,Mumbai,TIW Private Equity,Private Equity Round,51.348,2019,9,September,September-2019,1
2019-09-04,3rdFlix,SaaS,Education Technology,Hyderabad,Exfinity Venture Partners,Pre-Series A,42.79,2019,9,September,September-2019,1
2019-09-04,75F,IoT,Building automation system,Burnsville,Breakthrough Energy Ventures,Series A,154.044,2019,9,September,September-2019,1
2019-09-04,Myelin Foundry,Information Technology,Deep-technology,Bangalore,Endiya Partners,Angel Funding,8.558,2019,9,September,September-2019,1
2019-09-04,Atomberg Technology,Consumer Technology,"Consumer Electronics, Home Appliances",Mumbai,A91 Partners,Series A,85.58,2019,9,September,September-2019,1
2019-09-04,GOQii,Health and Wellness,Wearable Fitness Bands,Menlo Park,Bennett Coleman and Company Ltd (BCCL),Series C,3851.1,2019,9,September,September-2019,1
2019-09-03,Vyapar App,Accounting,Mobile-based Accounting Software,Bangalore,"India Quotient, Axilor Ventures",Series A,42.79,2019,9,September,September-2019,2
2019-08-01,CarDekho,E-Commerce,Automotive,Gurgaon,SC GG India Mobility Holdings LLC,Series C,171.16,2019,8,August,August-2019,1
2019-08-01,Progcap,Finance,Supply Chain Management,New Delhi,Sequoia India,Series A,42.79,2019,8,August,August-2019,1
2019-08-01,Alteria Capital,Finance,VC Funds,Mumbai,"Azim Premji, Binny Bansal",Venture Round,1198.12,2019,8,August,August-2019,2
2019-08-01,Pine Labs,Information Technology,Last-mile retail transaction technology,Noida,Pine Labs Pte Ltd,Corporate Round,325.88864,2019,8,August,August-2019,1
2019-08-12,Meesho,E-Commerce,Social Commerce,Bangalore,Naspers,Series D,1069.75,2019,8,August,August-2019,1
2019-08-13,Cars24,E-Commerce,Car Retail,Gurugram,MS Dhoni,Series D,94.138,2019,8,August,August-2019,1
2019-08-13,Uniphore,Customer Service Platform,Conversational AI,Palo Alto,March Capital Partners,Series C,436.458,2019,8,August,August-2019,1
2019-08-23,Zendrive,Automotive,Road Safety Analytics,San Francisco,XL Innovate,Series B,316.646,2019,8,August,August-2019,1
2019-08-23,Lo! Foods,Consumer Goods,Low carb food for Diabetics,Bangalore,"Rashmi Daga (founder, FreshMenu), Raveen Sastry (co-founder, Myntra) and Mitesh Shah (finance chief, BookMyShow)",Angel Funding,4.279,2019,8,August,August-2019,5
2019-08-23,Tala,FinTech,Digital Lending Platform,Santa Monica,RPS Ventures,Series D,941.38,2019,8,August,August-2019,1
2019-08-22,INDwealth,FinTech,Wealth Management,Gurgaon,Tiger Global Management,Venture Round,128.37,2019,8,August,August-2019,1
2019-08-21,HungerBox,Food and Beverage,B2B Foodtech,Bangalore,One97 Communications Ltd.,Series C,56.39722,2019,8,August,August-2019,1
2019-08-23,AdmitKard,EdTech,University Admissions,Noida,Growth DNA,Angel Funding,8.558,2019,8,August,August-2019,1
2019-08-19,Mishry Reviews,Services,Product Review,Gurgaon,Vir Sanghvi,Series A,0.0,2019,8,August,August-2019,1
2019-08-19,Grofers,E-Commerce,Grocery Delivery,Gurgaon,Softbank Vision Fund,Series F,599.06,2019,8,August,August-2019,1
2019-08-27,Rapido Bike Taxi,Transportation,Bike Taxi,Bangalore,Westbridge Capital,Series B,33376.2,2019,8,August,August-2019,1
2019-07-02,RenewBuy,Finance,Auto Insurance,Gurgaon,"Lok Capital, IIFL Wealth",Series B,162.602,2019,7,July,July-2019,2
2019-07-02,Atlan,Information Technology,Big Data,Singapore,WaterBridge Ventures,Pre-Series A,21.395,2019,7,July,July-2019,1
2019-07-01,WizCounsel,Compliance,Consulting,New Delhi,Kapil Dev,Angel Funding,1.24091,2019,7,July,July-2019,1
2019-07-03,Ola Cabs,Transport,Cabs,Kormangala,"DIG Investment Ab, Deshe Holdings, Samih Toukan and Hussam Khoury",Series J,8.558,2019,7,July,July-2019,3
2019-07-01,Uniphore,Artificial Intelligence,Speech Recognition,Taramani,March Capital Partners,Series C,325.88864,2019,7,July,July-2019,1
2019-07-04,Daalchini Technologies,Food and Beverage,Digital Vending Machine,New Delhi,Artha Venture,Angel Funding,4.279,2019,7,July,July-2019,1
2019-07-10,"""BYJU\\'S""",EdTech,Education,Bangalore,Qatar Investment Authority,Private Equity Round,1283.7,2019,7,July,July-2019,1
2019-07-11,Moglix,E-Commerce,Industrial Tools and Equipments,Singapore,"Composite Capital Management, Sequoia Capital India, Tiger Global Management",Series D,513.48,2019,7,July,July-2019,3
2019-07-10,Ezyhaul,Tech,Logistics,Singapore,Undisclosed,Series B,136.928,2019,7,July,July-2019,1
2019-07-10,Indus OS,Tech,Smartphone Operating System,Andheri,Ventureast,Series B,49.2085,2019,7,July,July-2019,1
2019-07-10,HealthAssure,Health Care,Primary care medical network,Mumbai,Blume Ventures,Series A,21.395,2019,7,July,July-2019,1
2019-07-09,House of Msasaba,Luxury Label,Clothes and Apparel,Mumbai,Binny Bansal,Series A,8.558,2019,7,July,July-2019,1
2019-07-08,Board Infinity,EdTech,Full-stack career platform,Chembur,Multiple Angel Investors,Angel Funding,2.73517959,2019,7,July,July-2019,1
2019-06-05,NoBroker,E-Commerce,Real Estate,Bangalore,General Atlantic,Series C,436.458,2019,6,June,June-2019,1
2019-06-04,Bira91,Food and Beverage,Brewery,New Delhi,Anicut Capital,Debt Funding,85.58,2019,6,June,June-2019,1
2019-06-03,Avail Finance,Finance,FinTech,Bangalore,Matrix Partners,Series A,77.022,2019,6,June,June-2019,1
2019-06-04,BharatPe,Finance,FinTech,New Delhi,Insight Partners,Series B,641.85,2019,6,June,June-2019,1
